"","Week","Weather.rank","Bike_out","Customer","Daily","Subscriber","Unknown"
"113","29","0",0.945,0.24,0,0.705,0
"114","29","1",1,0.26,0.12,0.62,0
"115","29","2",0,0,0,0,0
"116","29","3",0.47,0.19,0,0.28,0
"117","30","0",0.5,0.1,0,0.4,0
"118","30","1",0.513333333333333,0.166666666666667,0,0.346666666666667,0
"119","30","2",0.55,0.05,0,0.5,0
"120","30","3",0.18,0.04,0,0.14,0
"121","31","0",1.22,0.366666666666667,0,0.853333333333333,0
"122","31","1",0,0,0,0,0
"123","31","2",0.82,0.08,0,0.74,0
"124","31","3",0,0,0,0,0
"125","32","0",2.765,1.55,0.005,1.21,0
"126","32","1",1.62,0.54,0,1.08,0
"127","32","2",0,0,0,0,0
"128","32","3",0,0,0,0,0
"129","33","0",1.7,0.81,0.01,0.88,0
"130","33","1",0.64,0.04,0,0.6,0
"131","33","2",0.74,0.1,0,0.64,0
"132","33","3",0.433333333333333,0.0933333333333333,0,0.34,0
"133","34","0",2.845,2.13,0,0.715,0
"134","34","1",1.08,0.2,0,0.88,0
"135","34","2",0.54,0.16,0,0.38,0
"136","34","3",0.68,0.16,0,0.52,0
"137","35","0",2.355,1.31,0.015,1.03,0
"138","35","1",1.02,0.3,0,0.72,0
"139","35","2",1.36,0.42,0,0.94,0
"140","35","3",0.92,0.26,0,0.66,0
"141","36","0",3.66666666666667,2.7,0.00666666666666667,0.96,0
"142","36","1",1.68666666666667,0.666666666666667,0,1.02,0
"143","36","2",1.14,0.34,0,0.8,0
"144","36","3",0,0,0,0,0
"145","37","0",4.39333333333333,3.18666666666667,0.00333333333333333,1.20333333333333,0
"146","37","1",0,0,0,0,0
"147","37","2",1.58,0.68,0,0.9,0
"148","37","3",0,0,0,0,0
"149","38","0",3.915,2.045,0.005,1.865,0
"150","38","1",1.93,0.88,0,1.05,0
"151","38","2",0.74,0.44,0,0.3,0
"152","38","3",0,0,0,0,0
"153","39","0",3.896,2.448,0.012,1.436,0
"154","39","1",4.72,2.86,0,1.86,0
"155","39","2",0,0,0,0,0
"156","39","3",0.56,0.2,0,0.36,0
"157","40","0",5.495,3.595,0.02,1.88,0
"158","40","1",2.04,0.66,0,1.38,0
"159","40","2",0,0,0,0,0
"160","40","3",0,0,0,0,0
