"","Week","StationId","Hour","Weekday_bike_out","Weekend_bike_out"
"185","1",1007,"16",4,1
"186","1",1007,"17",4,0
"187","1",1007,"18",0,0
"188","1",1007,"19",2,1
"189","1",1007,"20",0,0
"190","1",1007,"21",2,0
"191","1",1007,"22",0,0
"192","1",1007,"23",0,4
"193","1",1008,"0",0,0
"194","1",1008,"1",1,0
"195","1",1008,"2",0,0
"196","1",1008,"3",0,0
"197","1",1008,"4",0,0
"198","1",1008,"5",0,0
"199","1",1008,"6",0,0
"200","1",1008,"7",1,0
"201","1",1008,"8",3,0
"202","1",1008,"9",1,0
"203","1",1008,"10",0,0
"204","1",1008,"11",0,0
"205","1",1008,"12",3,0
"206","1",1008,"13",1,0
"207","1",1008,"14",2,0
"208","1",1008,"15",2,0
"209","1",1008,"16",2,0
"210","1",1008,"17",0,0
"211","1",1008,"18",6,0
"212","1",1008,"19",5,0
"213","1",1008,"20",2,0
"214","1",1008,"21",3,7
"215","1",1008,"22",0,0
"216","1",1008,"23",0,2
"217","1",1009,"0",0,0
"218","1",1009,"1",0,0
"219","1",1009,"2",0,0
"220","1",1009,"3",0,0
"221","1",1009,"4",0,0
"222","1",1009,"5",0,0
"223","1",1009,"6",0,0
"224","1",1009,"7",2,0
"225","1",1009,"8",1,0
"226","1",1009,"9",4,0
"227","1",1009,"10",1,0
"228","1",1009,"11",1,2
"229","1",1009,"12",0,0
"230","1",1009,"13",2,2
"231","1",1009,"14",1,0
"232","1",1009,"15",2,6
"233","1",1009,"16",5,1
"234","1",1009,"17",3,0
"235","1",1009,"18",1,1
"236","1",1009,"19",2,0
"237","1",1009,"20",0,2
"238","1",1009,"21",0,0
"239","1",1009,"22",0,4
"240","1",1009,"23",0,0
"241","1",1010,"0",0,0
"242","1",1010,"1",0,0
"243","1",1010,"2",0,0
"244","1",1010,"3",0,0
"245","1",1010,"4",1,0
"246","1",1010,"5",3,0
"247","1",1010,"6",0,0
"248","1",1010,"7",1,0
"249","1",1010,"8",4,0
"250","1",1010,"9",3,0
"251","1",1010,"10",7,2
"252","1",1010,"11",4,0
"253","1",1010,"12",0,1
"254","1",1010,"13",7,7
"255","1",1010,"14",9,1
"256","1",1010,"15",10,1
"257","1",1010,"16",5,0
"258","1",1010,"17",9,0
"259","1",1010,"18",4,4
"260","1",1010,"19",3,0
"261","1",1010,"20",3,0
"262","1",1010,"21",0,0
"263","1",1010,"22",2,0
"264","1",1010,"23",2,0
"265","1",1011,"0",2,0
"266","1",1011,"1",0,0
"267","1",1011,"2",0,0
"268","1",1011,"3",0,0
"269","1",1011,"4",0,0
"270","1",1011,"5",0,0
"271","1",1011,"6",0,0
"272","1",1011,"7",2,2
"273","1",1011,"8",0,0
"274","1",1011,"9",0,0
"275","1",1011,"10",2,0
"276","1",1011,"11",1,1
"277","1",1011,"12",2,1
"278","1",1011,"13",3,0
"279","1",1011,"14",4,0
"280","1",1011,"15",3,1
"281","1",1011,"16",3,0
"282","1",1011,"17",4,0
"283","1",1011,"18",3,5
"284","1",1011,"19",0,2
"285","1",1011,"20",2,0
"286","1",1011,"21",0,3
"287","1",1011,"22",0,7
"288","1",1011,"23",0,0
"289","1",1012,"0",0,0
"290","1",1012,"1",0,0
"291","1",1012,"2",0,0
"292","1",1012,"3",0,0
"293","1",1012,"4",0,0
"294","1",1012,"5",0,0
"295","1",1012,"6",0,0
"296","1",1012,"7",0,0
"297","1",1012,"8",0,0
"298","1",1012,"9",0,5
"299","1",1012,"10",0,2
"300","1",1012,"11",0,1
"301","1",1012,"12",10,0
"302","1",1012,"13",0,2
"303","1",1012,"14",6,0
"304","1",1012,"15",7,2
"305","1",1012,"16",4,3
"306","1",1012,"17",1,2
"307","1",1012,"18",1,0
"308","1",1012,"19",1,2
"309","1",1012,"20",2,6
"310","1",1012,"21",0,0
"311","1",1012,"22",0,1
"312","1",1012,"23",0,4
"313","1",1013,"0",0,0
"314","1",1013,"1",0,1
"315","1",1013,"2",0,0
"316","1",1013,"3",0,0
"317","1",1013,"4",0,0
"318","1",1013,"5",0,0
"319","1",1013,"6",0,0
"320","1",1013,"7",0,2
"321","1",1013,"8",0,0
"322","1",1013,"9",0,4
"323","1",1013,"10",3,1
"324","1",1013,"11",5,8
"325","1",1013,"12",0,2
"326","1",1013,"13",5,2
"327","1",1013,"14",1,1
"328","1",1013,"15",2,0
