"","Week","TemperatureRank","Bike_out","Customer","Daily","Subscriber","Unknown"
"117","30","0",0.474285714285714,0.105714285714286,0,0.368571428571429,0
"118","30","1",0,0,0,0,0
"119","30","2",0,0,0,0,0
"120","30","3",0,0,0,0,0
"121","31","0",0.853333333333333,0.106666666666667,0,0.746666666666667,0
"122","31","1",1.395,0.49,0,0.905,0
"123","31","2",0,0,0,0,0
"124","31","3",0,0,0,0,0
"125","32","0",1.18,0.56,0,0.62,0
"126","32","1",1.78,0.515,0.005,1.26,0
"127","32","2",3.81,2.6,0,1.21,0
"128","32","3",0,0,0,0,0
"129","33","0",0.536,0.084,0,0.452,0
"130","33","1",1.7,0.81,0.01,0.88,0
"131","33","2",0,0,0,0,0
"132","33","3",0,0,0,0,0
"133","34","0",0.715,0.13,0,0.585,0
"134","34","1",1.08,0.4,0,0.68,0
"135","34","2",8.66,7.72,0,0.94,0
"136","34","3",0,0,0,0,0
"137","35","0",1.02,0.3,0,0.72,0
"138","35","1",1.95,0.986666666666667,0.01,0.953333333333333,0
"139","35","2",0,0,0,0,0
"140","35","3",0,0,0,0,0
"141","36","0",1.18,0.37,0,0.81,0
"142","36","1",1.30666666666667,0.56,0,0.746666666666667,0
"143","36","2",5.46,4.01,0.01,1.44,0
"144","36","3",0,0,0,0,0
"145","37","0",0,0,0,0,0
"146","37","1",2.06,1.17,0,0.89,0
"147","37","2",4.764,3.492,0.004,1.268,0
"148","37","3",0,0,0,0,0
"149","38","0",0,0,0,0,0
"150","38","1",2.62,1.38,0.01,1.23,0
"151","38","2",3.004,1.524,0,1.48,0
"152","38","3",0,0,0,0,0
"153","39","0",0,0,0,0,0
"154","39","1",2.952,1.864,0.012,1.076,0
"155","39","2",5,2.99,0,2.01,0
"156","39","3",0,0,0,0,0
"157","40","0",0,0,0,0,0
"158","40","1",2.33,0.83,0,1.5,0
"159","40","2",6.45333333333333,4.46,0.0266666666666667,1.96666666666667,0
"160","40","3",0,0,0,0,0
