"","Week","StationId","WeatherRank","Bike_out","Customer","Daily","Subscriber","Unknown"
"127","1",1031,"2",9,5,0,4,0
"128","1",1031,"3",0,0,0,0,0
"129","1",1032,"0",17,9,0,8,0
"130","1",1032,"1",8.5,4.5,0,3.5,0.5
"131","1",1032,"2",15,4,0,8,3
"132","1",1032,"3",0,0,0,0,0
"133","1",1033,"0",13,8,0,4,1
"134","1",1033,"1",13.5,7.5,0,5,1
"135","1",1033,"2",15,6,0,9,0
"136","1",1033,"3",0,0,0,0,0
"137","1",1034,"0",6,2,0,2,2
"138","1",1034,"1",7.5,4.5,0,2.5,0.5
"139","1",1034,"2",13,10,0,3,0
"140","1",1034,"3",0,0,0,0,0
"141","1",1035,"0",11,6,0,5,0
"142","1",1035,"1",8,6,0,1.5,0.5
"143","1",1035,"2",4,3,0,0,1
"144","1",1035,"3",0,0,0,0,0
"145","1",1036,"0",9,0,0,0,9
"146","1",1036,"1",19,0,0,0,19
"147","1",1036,"2",17,0,0,0,17
"148","1",1036,"3",0,0,0,0,0
"149","1",1037,"0",0,0,0,0,0
"150","1",1037,"1",0,0,0,0,0
"151","1",1037,"2",0,0,0,0,0
"152","1",1037,"3",0,0,0,0,0
"153","1",1038,"0",8,7,0,1,0
"154","1",1038,"1",4.5,2,0,2,0.5
"155","1",1038,"2",5,3,0,0,2
"156","1",1038,"3",0,0,0,0,0
"157","1",1039,"0",9,7,0,1,1
"158","1",1039,"1",9.5,5.5,0,3.5,0.5
"159","1",1039,"2",17,11,0,6,0
"160","1",1039,"3",0,0,0,0,0
"161","1",1040,"0",19,13,0,6,0
"162","1",1040,"1",15.5,5,0,7,3.5
"163","1",1040,"2",0,0,0,0,0
"164","1",1040,"3",0,0,0,0,0
"165","1",1041,"0",15,9,0,6,0
"166","1",1041,"1",15.5,4,0,11,0.5
"167","1",1041,"2",5,1,0,1,3
"168","1",1041,"3",0,0,0,0,0
"169","1",1042,"0",0,0,0,0,0
"170","1",1042,"1",1.5,1.5,0,0,0
"171","1",1042,"2",1,1,0,0,0
"172","1",1042,"3",0,0,0,0,0
"173","1",1043,"0",10,5,0,5,0
"174","1",1043,"1",3.5,2.5,0,1,0
"175","1",1043,"2",4,3,0,1,0
"176","1",1043,"3",0,0,0,0,0
"177","1",1044,"0",7,6,0,1,0
"178","1",1044,"1",7.5,6.5,0,1,0
"179","1",1044,"2",16,15,0,1,0
"180","1",1044,"3",0,0,0,0,0
"181","1",1045,"0",22,17,0,5,0
"182","1",1045,"1",40,31.5,0,8,0.5
"183","1",1045,"2",73,66,0,5,2
"184","1",1045,"3",0,0,0,0,0
"185","1",1046,"0",5,3,0,2,0
"186","1",1046,"1",9,9,0,0,0
"187","1",1046,"2",15,15,0,0,0
"188","1",1046,"3",0,0,0,0,0
"189","1",1047,"0",8,8,0,0,0
"190","1",1047,"1",10,6.5,0,3.5,0
"191","1",1047,"2",14,13,0,1,0
"192","1",1047,"3",0,0,0,0,0
"193","1",1048,"0",22,7,0,15,0
"194","1",1048,"1",14,8.5,0,5.5,0
"195","1",1048,"2",15,5,0,10,0
"196","1",1048,"3",0,0,0,0,0
"197","1",1049,"0",10,5,0,5,0
"198","1",1049,"1",18.5,12,0,6.5,0
"199","1",1049,"2",17,13,0,4,0
"200","1",1049,"3",0,0,0,0,0
"201","2",1000,"0",35,33,0,2,0
"202","2",1000,"1",13.3333333333333,9.33333333333333,0,4,0
"203","2",1000,"2",0,0,0,0,0
"204","2",1000,"3",0,0,0,0,0
"205","2",1001,"0",44,43,0,1,0
"206","2",1001,"1",21.6666666666667,15.6666666666667,0,5.83333333333333,0.166666666666667
"207","2",1001,"2",0,0,0,0,0
"208","2",1001,"3",0,0,0,0,0
"209","2",1002,"0",3,2,0,1,0
"210","2",1002,"1",5.33333333333333,2.83333333333333,0.166666666666667,2.33333333333333,0
"211","2",1002,"2",0,0,0,0,0
"212","2",1002,"3",0,0,0,0,0
"213","2",1003,"0",12,10,0,2,0
"214","2",1003,"1",5.5,4,0,1.33333333333333,0.166666666666667
"215","2",1003,"2",0,0,0,0,0
"216","2",1003,"3",0,0,0,0,0
"217","2",1004,"0",11,9,0,2,0
"218","2",1004,"1",7.33333333333333,4,0,3.33333333333333,0
"219","2",1004,"2",0,0,0,0,0
"220","2",1004,"3",0,0,0,0,0
"221","2",1005,"0",7,6,0,1,0
"222","2",1005,"1",9.16666666666667,5.33333333333333,0,3.83333333333333,0
"223","2",1005,"2",0,0,0,0,0
"224","2",1005,"3",0,0,0,0,0
"225","2",1006,"0",8,8,0,0,0
"226","2",1006,"1",6.33333333333333,4.66666666666667,0,1.5,0.166666666666667
"227","2",1006,"2",0,0,0,0,0
"228","2",1006,"3",0,0,0,0,0
"229","2",1007,"0",5,2,0,3,0
"230","2",1007,"1",6.5,2,0,4.5,0
"231","2",1007,"2",0,0,0,0,0
"232","2",1007,"3",0,0,0,0,0
"233","2",1008,"0",8,8,0,0,0
"234","2",1008,"1",3.16666666666667,1.33333333333333,0,1.83333333333333,0
"235","2",1008,"2",0,0,0,0,0
"236","2",1008,"3",0,0,0,0,0
"237","2",1009,"0",12,8,0,4,0
"238","2",1009,"1",7.83333333333333,5.66666666666667,0.166666666666667,2,0
"239","2",1009,"2",0,0,0,0,0
"240","2",1009,"3",0,0,0,0,0
"241","2",1010,"0",40,38,0,2,0
"242","2",1010,"1",18,13.1666666666667,0,4.83333333333333,0
"243","2",1010,"2",0,0,0,0,0
"244","2",1010,"3",0,0,0,0,0
"245","2",1011,"0",29,26,0,3,0
"246","2",1011,"1",9.5,8.33333333333333,0,1.16666666666667,0
"247","2",1011,"2",0,0,0,0,0
"248","2",1011,"3",0,0,0,0,0
"249","2",1012,"0",24,24,0,0,0
"250","2",1012,"1",12.6666666666667,11.3333333333333,0,1.33333333333333,0
"251","2",1012,"2",0,0,0,0,0
"252","2",1012,"3",0,0,0,0,0
"253","2",1013,"0",21,19,0,2,0
"254","2",1013,"1",19.5,14,0.333333333333333,5.16666666666667,0
"255","2",1013,"2",0,0,0,0,0
"256","2",1013,"3",0,0,0,0,0
"257","2",1014,"0",16,14,0,2,0
"258","2",1014,"1",4.33333333333333,1.83333333333333,0.166666666666667,2.33333333333333,0
"259","2",1014,"2",0,0,0,0,0
"260","2",1014,"3",0,0,0,0,0
"261","2",1015,"0",20,18,0,2,0
"262","2",1015,"1",9.66666666666667,7.66666666666667,0,2,0
"263","2",1015,"2",0,0,0,0,0
"264","2",1015,"3",0,0,0,0,0
"265","2",1016,"0",22,19,0,3,0
"266","2",1016,"1",11.1666666666667,7.83333333333333,0,3.33333333333333,0
"267","2",1016,"2",0,0,0,0,0
"268","2",1016,"3",0,0,0,0,0
"269","2",1017,"0",58,53,0,5,0
"270","2",1017,"1",9.66666666666667,7.33333333333333,0,2.33333333333333,0
"271","2",1017,"2",0,0,0,0,0
"272","2",1017,"3",0,0,0,0,0
"273","2",1018,"0",29,24,0,5,0
"274","2",1018,"1",8.5,6.66666666666667,0,1.83333333333333,0
"275","2",1018,"2",0,0,0,0,0
"276","2",1018,"3",0,0,0,0,0
"277","2",1019,"0",25,20,0,5,0
"278","2",1019,"1",11.1666666666667,6.83333333333333,0,4.33333333333333,0
"279","2",1019,"2",0,0,0,0,0
"280","2",1019,"3",0,0,0,0,0
"281","2",1020,"0",9,8,0,1,0
"282","2",1020,"1",5.83333333333333,3.66666666666667,0,1.83333333333333,0.333333333333333
"283","2",1020,"2",0,0,0,0,0
"284","2",1020,"3",0,0,0,0,0
"285","2",1021,"0",12,7,0,3,2
"286","2",1021,"1",4.16666666666667,2.16666666666667,0,2,0
"287","2",1021,"2",0,0,0,0,0
"288","2",1021,"3",0,0,0,0,0
"289","2",1022,"0",10,8,0,2,0
"290","2",1022,"1",3.33333333333333,1.66666666666667,0,1.66666666666667,0
"291","2",1022,"2",0,0,0,0,0
"292","2",1022,"3",0,0,0,0,0
"293","2",1023,"0",5,4,0,1,0
"294","2",1023,"1",3.66666666666667,2,0.166666666666667,1.5,0
"295","2",1023,"2",0,0,0,0,0
"296","2",1023,"3",0,0,0,0,0
"297","2",1024,"0",6,4,0,2,0
"298","2",1024,"1",4.66666666666667,3,0,1.66666666666667,0
"299","2",1024,"2",0,0,0,0,0
"300","2",1024,"3",0,0,0,0,0
"301","2",1025,"0",6,3,0,3,0
"302","2",1025,"1",4.33333333333333,3,0,1.33333333333333,0
"303","2",1025,"2",0,0,0,0,0
"304","2",1025,"3",0,0,0,0,0
"305","2",1026,"0",2,1,0,1,0
"306","2",1026,"1",3.33333333333333,2,0,1.16666666666667,0.166666666666667
"307","2",1026,"2",0,0,0,0,0
"308","2",1026,"3",0,0,0,0,0
"309","2",1027,"0",6,6,0,0,0
"310","2",1027,"1",1.16666666666667,0.833333333333333,0,0.333333333333333,0
"311","2",1027,"2",0,0,0,0,0
"312","2",1027,"3",0,0,0,0,0
"313","2",1028,"0",6,5,0,0,1
