"","Quarter","Week","Hour","Weekday_bike_out","Weekend_bike_out"
"1","3","1","0",0.0766153846153846,0.178461538461538
"2","3","1","1",0.0427692307692308,0.123846153846154
"3","3","1","2",0.0255384615384615,0.0676923076923077
"4","3","1","3",0.00830769230769231,0.0330769230769231
"5","3","1","4",0.00861538461538462,0.0176923076923077
"6","3","1","5",0.0510769230769231,0.0184615384615385
"7","3","1","6",0.0741538461538462,0.0553846153846154
"8","3","1","7",0.291692307692308,0.153076923076923
"9","3","1","8",0.427692307692308,0.256153846153846
"10","3","1","9",0.316923076923077,0.466153846153846
"11","3","1","10",0.313846153846154,0.761538461538462
"12","3","1","11",0.415692307692308,0.951538461538462
"13","3","1","12",0.542769230769231,0.993846153846154
"14","3","1","13",0.482461538461538,1.03846153846154
"15","3","1","14",0.452923076923077,1.07153846153846
"16","3","1","15",0.478153846153846,0.960769230769231
"17","3","1","16",0.604,0.909230769230769
"18","3","1","17",0.854153846153846,0.722307692307692
"19","3","1","18",0.733846153846154,0.67
"20","3","1","19",0.586153846153846,0.569230769230769
"21","3","1","20",0.417538461538462,0.376923076923077
"22","3","1","21",0.266461538461538,0.250769230769231
"23","3","1","22",0.203692307692308,0.246153846153846
"24","3","1","23",0.124307692307692,0.143076923076923
"25","3","2","0",0.0766153846153846,0.178461538461538
"26","3","2","1",0.0427692307692308,0.123846153846154
"27","3","2","2",0.0255384615384615,0.0676923076923077
"28","3","2","3",0.00830769230769231,0.0330769230769231
"29","3","2","4",0.00861538461538462,0.0176923076923077
"30","3","2","5",0.0510769230769231,0.0184615384615385
"31","3","2","6",0.0741538461538462,0.0553846153846154
"32","3","2","7",0.291692307692308,0.153076923076923
"33","3","2","8",0.427692307692308,0.256153846153846
"34","3","2","9",0.316923076923077,0.466153846153846
"35","3","2","10",0.313846153846154,0.761538461538462
"36","3","2","11",0.415692307692308,0.951538461538462
"37","3","2","12",0.542769230769231,0.993846153846154
"38","3","2","13",0.482461538461538,1.03846153846154
"39","3","2","14",0.452923076923077,1.07153846153846
"40","3","2","15",0.478153846153846,0.960769230769231
"41","3","2","16",0.604,0.909230769230769
"42","3","2","17",0.854153846153846,0.722307692307692
"43","3","2","18",0.733846153846154,0.67
"44","3","2","19",0.586153846153846,0.569230769230769
"45","3","2","20",0.417538461538462,0.376923076923077
"46","3","2","21",0.266461538461538,0.250769230769231
"47","3","2","22",0.203692307692308,0.246153846153846
"48","3","2","23",0.124307692307692,0.143076923076923
"49","3","3","0",0.0766153846153846,0.178461538461538
"50","3","3","1",0.0427692307692308,0.123846153846154
"51","3","3","2",0.0255384615384615,0.0676923076923077
"52","3","3","3",0.00830769230769231,0.0330769230769231
"53","3","3","4",0.00861538461538462,0.0176923076923077
"54","3","3","5",0.0510769230769231,0.0184615384615385
"55","3","3","6",0.0741538461538462,0.0553846153846154
"56","3","3","7",0.291692307692308,0.153076923076923
"57","3","3","8",0.427692307692308,0.256153846153846
"58","3","3","9",0.316923076923077,0.466153846153846
"59","3","3","10",0.313846153846154,0.761538461538462
"60","3","3","11",0.415692307692308,0.951538461538462
"61","3","3","12",0.542769230769231,0.993846153846154
"62","3","3","13",0.482461538461538,1.03846153846154
"63","3","3","14",0.452923076923077,1.07153846153846
"64","3","3","15",0.478153846153846,0.960769230769231
"65","3","3","16",0.604,0.909230769230769
"66","3","3","17",0.854153846153846,0.722307692307692
"67","3","3","18",0.733846153846154,0.67
"68","3","3","19",0.586153846153846,0.569230769230769
"69","3","3","20",0.417538461538462,0.376923076923077
"70","3","3","21",0.266461538461538,0.250769230769231
"71","3","3","22",0.203692307692308,0.246153846153846
"72","3","3","23",0.124307692307692,0.143076923076923
"73","3","4","0",0.0766153846153846,0.178461538461538
"74","3","4","1",0.0427692307692308,0.123846153846154
"75","3","4","2",0.0255384615384615,0.0676923076923077
"76","3","4","3",0.00830769230769231,0.0330769230769231
"77","3","4","4",0.00861538461538462,0.0176923076923077
"78","3","4","5",0.0510769230769231,0.0184615384615385
"79","3","4","6",0.0741538461538462,0.0553846153846154
"80","3","4","7",0.291692307692308,0.153076923076923
"81","3","4","8",0.427692307692308,0.256153846153846
"82","3","4","9",0.316923076923077,0.466153846153846
"83","3","4","10",0.313846153846154,0.761538461538462
"84","3","4","11",0.415692307692308,0.951538461538462
"85","3","4","12",0.542769230769231,0.993846153846154
"86","3","4","13",0.482461538461538,1.03846153846154
"87","3","4","14",0.452923076923077,1.07153846153846
"88","3","4","15",0.478153846153846,0.960769230769231
"89","3","4","16",0.604,0.909230769230769
"90","3","4","17",0.854153846153846,0.722307692307692
"91","3","4","18",0.733846153846154,0.67
"92","3","4","19",0.586153846153846,0.569230769230769
"93","3","4","20",0.417538461538462,0.376923076923077
"94","3","4","21",0.266461538461538,0.250769230769231
"95","3","4","22",0.203692307692308,0.246153846153846
"96","3","4","23",0.124307692307692,0.143076923076923
"97","3","5","0",0.0766153846153846,0.178461538461538
"98","3","5","1",0.0427692307692308,0.123846153846154
"99","3","5","2",0.0255384615384615,0.0676923076923077
"100","3","5","3",0.00830769230769231,0.0330769230769231
"101","3","5","4",0.00861538461538462,0.0176923076923077
"102","3","5","5",0.0510769230769231,0.0184615384615385
"103","3","5","6",0.0741538461538462,0.0553846153846154
"104","3","5","7",0.291692307692308,0.153076923076923
"105","3","5","8",0.427692307692308,0.256153846153846
"106","3","5","9",0.316923076923077,0.466153846153846
"107","3","5","10",0.313846153846154,0.761538461538462
"108","3","5","11",0.415692307692308,0.951538461538462
"109","3","5","12",0.542769230769231,0.993846153846154
"110","3","5","13",0.482461538461538,1.03846153846154
"111","3","5","14",0.452923076923077,1.07153846153846
"112","3","5","15",0.478153846153846,0.960769230769231
"113","3","5","16",0.604,0.909230769230769
"114","3","5","17",0.854153846153846,0.722307692307692
"115","3","5","18",0.733846153846154,0.67
"116","3","5","19",0.586153846153846,0.569230769230769
"117","3","5","20",0.417538461538462,0.376923076923077
"118","3","5","21",0.266461538461538,0.250769230769231
"119","3","5","22",0.203692307692308,0.246153846153846
"120","3","5","23",0.124307692307692,0.143076923076923
"121","3","6","0",0.0766153846153846,0.178461538461538
"122","3","6","1",0.0427692307692308,0.123846153846154
"123","3","6","2",0.0255384615384615,0.0676923076923077
"124","3","6","3",0.00830769230769231,0.0330769230769231
"125","3","6","4",0.00861538461538462,0.0176923076923077
"126","3","6","5",0.0510769230769231,0.0184615384615385
"127","3","6","6",0.0741538461538462,0.0553846153846154
"128","3","6","7",0.291692307692308,0.153076923076923
"129","3","6","8",0.427692307692308,0.256153846153846
"130","3","6","9",0.316923076923077,0.466153846153846
"131","3","6","10",0.313846153846154,0.761538461538462
"132","3","6","11",0.415692307692308,0.951538461538462
"133","3","6","12",0.542769230769231,0.993846153846154
"134","3","6","13",0.482461538461538,1.03846153846154
"135","3","6","14",0.452923076923077,1.07153846153846
"136","3","6","15",0.478153846153846,0.960769230769231
"137","3","6","16",0.604,0.909230769230769
"138","3","6","17",0.854153846153846,0.722307692307692
"139","3","6","18",0.733846153846154,0.67
"140","3","6","19",0.586153846153846,0.569230769230769
"141","3","6","20",0.417538461538462,0.376923076923077
"142","3","6","21",0.266461538461538,0.250769230769231
"143","3","6","22",0.203692307692308,0.246153846153846
"144","3","6","23",0.124307692307692,0.143076923076923
"145","3","7","0",0.0766153846153846,0.178461538461538
"146","3","7","1",0.0427692307692308,0.123846153846154
"147","3","7","2",0.0255384615384615,0.0676923076923077
"148","3","7","3",0.00830769230769231,0.0330769230769231
"149","3","7","4",0.00861538461538462,0.0176923076923077
"150","3","7","5",0.0510769230769231,0.0184615384615385
"151","3","7","6",0.0741538461538462,0.0553846153846154
"152","3","7","7",0.291692307692308,0.153076923076923
"153","3","7","8",0.427692307692308,0.256153846153846
"154","3","7","9",0.316923076923077,0.466153846153846
"155","3","7","10",0.313846153846154,0.761538461538462
"156","3","7","11",0.415692307692308,0.951538461538462
"157","3","7","12",0.542769230769231,0.993846153846154
"158","3","7","13",0.482461538461538,1.03846153846154
"159","3","7","14",0.452923076923077,1.07153846153846
"160","3","7","15",0.478153846153846,0.960769230769231
"161","3","7","16",0.604,0.909230769230769
"162","3","7","17",0.854153846153846,0.722307692307692
"163","3","7","18",0.733846153846154,0.67
"164","3","7","19",0.586153846153846,0.569230769230769
"165","3","7","20",0.417538461538462,0.376923076923077
"166","3","7","21",0.266461538461538,0.250769230769231
"167","3","7","22",0.203692307692308,0.246153846153846
"168","3","7","23",0.124307692307692,0.143076923076923
"169","3","8","0",0.0766153846153846,0.178461538461538
"170","3","8","1",0.0427692307692308,0.123846153846154
"171","3","8","2",0.0255384615384615,0.0676923076923077
"172","3","8","3",0.00830769230769231,0.0330769230769231
"173","3","8","4",0.00861538461538462,0.0176923076923077
"174","3","8","5",0.0510769230769231,0.0184615384615385
"175","3","8","6",0.0741538461538462,0.0553846153846154
"176","3","8","7",0.291692307692308,0.153076923076923
"177","3","8","8",0.427692307692308,0.256153846153846
"178","3","8","9",0.316923076923077,0.466153846153846
"179","3","8","10",0.313846153846154,0.761538461538462
"180","3","8","11",0.415692307692308,0.951538461538462
"181","3","8","12",0.542769230769231,0.993846153846154
"182","3","8","13",0.482461538461538,1.03846153846154
"183","3","8","14",0.452923076923077,1.07153846153846
"184","3","8","15",0.478153846153846,0.960769230769231
"185","3","8","16",0.604,0.909230769230769
"186","3","8","17",0.854153846153846,0.722307692307692
"187","3","8","18",0.733846153846154,0.67
"188","3","8","19",0.586153846153846,0.569230769230769
"189","3","8","20",0.417538461538462,0.376923076923077
"190","3","8","21",0.266461538461538,0.250769230769231
"191","3","8","22",0.203692307692308,0.246153846153846
"192","3","8","23",0.124307692307692,0.143076923076923
"193","3","9","0",0.0766153846153846,0.178461538461538
"194","3","9","1",0.0427692307692308,0.123846153846154
"195","3","9","2",0.0255384615384615,0.0676923076923077
"196","3","9","3",0.00830769230769231,0.0330769230769231
"197","3","9","4",0.00861538461538462,0.0176923076923077
"198","3","9","5",0.0510769230769231,0.0184615384615385
"199","3","9","6",0.0741538461538462,0.0553846153846154
"200","3","9","7",0.291692307692308,0.153076923076923
"201","3","9","8",0.427692307692308,0.256153846153846
"202","3","9","9",0.316923076923077,0.466153846153846
"203","3","9","10",0.313846153846154,0.761538461538462
"204","3","9","11",0.415692307692308,0.951538461538462
"205","3","9","12",0.542769230769231,0.993846153846154
"206","3","9","13",0.482461538461538,1.03846153846154
"207","3","9","14",0.452923076923077,1.07153846153846
"208","3","9","15",0.478153846153846,0.960769230769231
"209","3","9","16",0.604,0.909230769230769
"210","3","9","17",0.854153846153846,0.722307692307692
"211","3","9","18",0.733846153846154,0.67
"212","3","9","19",0.586153846153846,0.569230769230769
"213","3","9","20",0.417538461538462,0.376923076923077
"214","3","9","21",0.266461538461538,0.250769230769231
"215","3","9","22",0.203692307692308,0.246153846153846
"216","3","9","23",0.124307692307692,0.143076923076923
"217","3","10","0",0.0766153846153846,0.178461538461538
